label -> error: 0.0035481744	CV error: 0.0041857134	epochs: 144000 / 1000000
label -> error: 0.0031905652	CV error: 0.0038565558	epochs: 145000 / 1000000
label -> error: 0.0035896702	CV error: 0.003608332	epochs: 146000 / 1000000
label -> error: 0.004026705	CV error: 0.0047900863	epochs: 147000 / 1000000
label -> error: 0.0032650733	CV error: 0.0035185788	epochs: 148000 / 1000000
label -> error: 0.0042088884	CV error: 0.004314236	epochs: 149000 / 1000000
label -> error: 0.004010113	CV error: 0.0033186213	epochs: 150000 / 1000000
label -> error: 0.0036376263	CV error: 0.0041055977	epochs: 151000 / 1000000
label -> error: 0.0033150099	CV error: 0.00416798	epochs: 152000 / 1000000
label -> error: 0.004598707	CV error: 0.0036600456	epochs: 153000 / 1000000
label -> error: 0.0043700035	CV error: 0.0035586953	epochs: 154000 / 1000000
label -> error: 0.0037232381	CV error: 0.004076573	epochs: 155000 / 1000000
label -> error: 0.0038686541	CV error: 0.00393201	epochs: 156000 / 1000000
label -> error: 0.003762516	CV error: 0.004208882	epochs: 157000 / 1000000
label -> error: 0.0041252906	CV error: 0.0040423837	epochs: 158000 / 1000000
label -> error: 0.004028763	CV error: 0.0045544314	epochs: 159000 / 1000000
label -> error: 0.0038679263	CV error: 0.004575876	epochs: 160000 / 1000000
label -> error: 0.0034371463	CV error: 0.0033361136	epochs: 161000 / 1000000
label -> error: 0.0033447735	CV error: 0.0040604	epochs: 162000 / 1000000
label -> error: 0.003372561	CV error: 0.0040981458	epochs: 163000 / 1000000
label -> error: 0.0039031163	CV error: 0.0034036525	epochs: 164000 / 1000000
label -> error: 0.0035205183	CV error: 0.0036703413	epochs: 165000 / 1000000
label -> error: 0.0034306643	CV error: 0.0031187923	epochs: 166000 / 1000000
label -> error: 0.0038252838	CV error: 0.0039282716	epochs: 167000 / 1000000
label -> error: 0.0039617848	CV error: 0.0045269313	epochs: 168000 / 1000000
label -> error: 0.0040562493	CV error: 0.0035843903	epochs: 169000 / 1000000
label -> error: 0.0037342028	CV error: 0.003722199	epochs: 170000 / 1000000
label -> error: 0.0028358214	CV error: 0.0042507416	epochs: 171000 / 1000000
label -> error: 0.0034894235	CV error: 0.004265993	epochs: 172000 / 1000000
label -> error: 0.003896175	CV error: 0.0036362899	epochs: 173000 / 1000000
label -> error: 0.0040119863	CV error: 0.0042263702	epochs: 174000 / 1000000
label -> error: 0.004244105	CV error: 0.002999956	epochs: 175000 / 1000000
label -> error: 0.0035444295	CV error: 0.0028494194	epochs: 176000 / 1000000
label -> error: 0.0036646237	CV error: 0.003707674	epochs: 177000 / 1000000
label -> error: 0.003167225	CV error: 0.003380743	epochs: 178000 / 1000000
label -> error: 0.003868504	CV error: 0.0036824392	epochs: 179000 / 1000000
label -> error: 0.0030162402	CV error: 0.0038660245	epochs: 180000 / 1000000
label -> error: 0.0040504322	CV error: 0.004117108	epochs: 181000 / 1000000
label -> error: 0.003951303	CV error: 0.003160102	epochs: 182000 / 1000000
label -> error: 0.0033003632	CV error: 0.003795929	epochs: 183000 / 1000000
label -> error: 0.00334339	CV error: 0.0036699418	epochs: 184000 / 1000000
label -> error: 0.003074473	CV error: 0.0036554118	epochs: 185000 / 1000000
label -> error: 0.0035877358	CV error: 0.0034951493	epochs: 186000 / 1000000
label -> error: 0.0037697263	CV error: 0.0029865254	epochs: 187000 / 1000000
label -> error: 0.0032956258	CV error: 0.002835437	epochs: 188000 / 1000000
label -> error: 0.00262564	CV error: 0.003941457	epochs: 189000 / 1000000
label -> error: 0.0037857834	CV error: 0.003697991	epochs: 190000 / 1000000
label -> error: 0.0030260955	CV error: 0.003839193	epochs: 191000 / 1000000
label -> error: 0.0027607488	CV error: 0.003750558	epochs: 192000 / 1000000
label -> error: 0.0031216377	CV error: 0.0037576563	epochs: 193000 / 1000000
label -> error: 0.003177063	CV error: 0.0031490263	epochs: 194000 / 1000000
label -> error: 0.0040092543	CV error: 0.0034827925	epochs: 195000 / 1000000
label -> error: 0.003316069	CV error: 0.0041936715	epochs: 196000 / 1000000
label -> error: 0.0031813816	CV error: 0.003675735	epochs: 197000 / 1000000
label -> error: 0.0036255354	CV error: 0.002558891	epochs: 198000 / 1000000
label -> error: 0.0034566617	CV error: 0.0033592002	epochs: 199000 / 1000000
label -> error: 0.0025954726	CV error: 0.0034431175	epochs: 200000 / 1000000
label -> error: 0.0032468606	CV error: 0.0036119553	epochs: 201000 / 1000000
label -> error: 0.003143552	CV error: 0.0033341902	epochs: 202000 / 1000000
label -> error: 0.0039037548	CV error: 0.003405493	epochs: 203000 / 1000000
label -> error: 0.0043516494	CV error: 0.003715453	epochs: 204000 / 1000000
label -> error: 0.0037691512	CV error: 0.003696807	epochs: 205000 / 1000000
label -> error: 0.0038284962	CV error: 0.0035684174	epochs: 206000 / 1000000
label -> error: 0.0034760225	CV error: 0.0035080006	epochs: 207000 / 1000000
label -> error: 0.0032675937	CV error: 0.0031636432	epochs: 208000 / 1000000
label -> error: 0.0036360144	CV error: 0.00361692	epochs: 209000 / 1000000
label -> error: 0.0031267293	CV error: 0.003365821	epochs: 210000 / 1000000
label -> error: 0.0034023228	CV error: 0.0033796176	epochs: 211000 / 1000000
label -> error: 0.0037183482	CV error: 0.0038184552	epochs: 212000 / 1000000
label -> error: 0.0032060554	CV error: 0.004119112	epochs: 213000 / 1000000
label -> error: 0.003509651	CV error: 0.0037320715	epochs: 214000 / 1000000
label -> error: 0.003770265	CV error: 0.003922817	epochs: 215000 / 1000000
label -> error: 0.0035108014	CV error: 0.0029121628	epochs: 216000 / 1000000
label -> error: 0.0025308651	CV error: 0.003732809	epochs: 217000 / 1000000
label -> error: 0.0033060806	CV error: 0.0026474595	epochs: 218000 / 1000000
label -> error: 0.0027816785	CV error: 0.003921303	epochs: 219000 / 1000000
label -> error: 0.003187211	CV error: 0.0042654495	epochs: 220000 / 1000000
label -> error: 0.0035134593	CV error: 0.0031187318	epochs: 221000 / 1000000
label -> error: 0.003629834	CV error: 0.003146919	epochs: 222000 / 1000000
label -> error: 0.0040283054	CV error: 0.004087221	epochs: 223000 / 1000000
label -> error: 0.0033897788	CV error: 0.0030590121	epochs: 224000 / 1000000
label -> error: 0.0036744506	CV error: 0.003654943	epochs: 225000 / 1000000
label -> error: 0.0031319016	CV error: 0.0035725664	epochs: 226000 / 1000000
label -> error: 0.003148042	CV error: 0.0038354464	epochs: 227000 / 1000000
label -> error: 0.0028291866	CV error: 0.0033127577	epochs: 228000 / 1000000
