Images loaded
Labels loaded
Classes loaded
image input size: 75
label input size: 34
start training
labels: 0.0020634725	images: 0.004556803	combi: 0.032075524	epochs: 141000 / 1000000
labels: 0.0022623967	images: 0.00427659	combi: 0.03205784	epochs: 142000 / 1000000
labels: 0.0018615645	images: 0.004451319	combi: 0.032046355	epochs: 143000 / 1000000
labels: 0.0022491552	images: 0.0044282177	combi: 0.031759214	epochs: 144000 / 1000000
labels: 0.0016058905	images: 0.0041107787	combi: 0.031765472	epochs: 145000 / 1000000
labels: 0.0020634716	images: 0.0041270163	combi: 0.031875074	epochs: 146000 / 1000000
labels: 0.001602465	images: 0.0043284153	combi: 0.031775575	epochs: 147000 / 1000000
labels: 0.001857359	images: 0.0045064483	combi: 0.03178319	epochs: 148000 / 1000000
labels: 0.0018523907	images: 0.004400545	combi: 0.032062862	epochs: 149000 / 1000000
labels: 0.0018512843	images: 0.004360499	combi: 0.03238707	epochs: 150000 / 1000000
labels: 0.0020587381	images: 0.0043102847	combi: 0.032286108	epochs: 151000 / 1000000
labels: 0.0022482902	images: 0.004522065	combi: 0.032224014	epochs: 152000 / 1000000
labels: 0.0020540704	images: 0.004285689	combi: 0.03182811	epochs: 153000 / 1000000
labels: 0.002253721	images: 0.004221474	combi: 0.03190266	epochs: 154000 / 1000000
labels: 0.0015989379	images: 0.0042862874	combi: 0.032151338	epochs: 155000 / 1000000
labels: 0.0025982799	images: 0.004407913	combi: 0.032091253	epochs: 156000 / 1000000
labels: 0.0015989773	images: 0.004383888	combi: 0.032260645	epochs: 157000 / 1000000
labels: 9.27374E-4	images: 0.0043893843	combi: 0.032229092	epochs: 158000 / 1000000
labels: 0.002249649	images: 0.0039806077	combi: 0.032368917	epochs: 159000 / 1000000
labels: 0.0016013003	images: 0.004119024	combi: 0.032011196	epochs: 160000 / 1000000
labels: 0.0018335256	images: 0.004320839	combi: 0.031885277	epochs: 161000 / 1000000
labels: 0.0015927866	images: 0.004289904	combi: 0.031937897	epochs: 162000 / 1000000
labels: 0.0022486106	images: 0.004465694	combi: 0.032235883	epochs: 163000 / 1000000
labels: 0.0015919526	images: 0.0043019913	combi: 0.031979527	epochs: 164000 / 1000000
labels: 0.0020528866	images: 0.004445747	combi: 0.032192178	epochs: 165000 / 1000000
labels: 0.0018407877	images: 0.0041822963	combi: 0.032079466	epochs: 166000 / 1000000
labels: 0.0020555132	images: 0.0044388394	combi: 0.03217661	epochs: 167000 / 1000000
labels: 0.0018383991	images: 0.0044653085	combi: 0.0321123	epochs: 168000 / 1000000
labels: 0.0015925162	images: 0.0043317345	combi: 0.031911455	epochs: 169000 / 1000000
labels: 0.0013001934	images: 0.004155655	combi: 0.03187365	epochs: 170000 / 1000000
labels: 0.0022515513	images: 0.004447826	combi: 0.031794097	epochs: 171000 / 1000000
labels: 9.2536653E-4	images: 0.0043108403	combi: 0.032154776	epochs: 172000 / 1000000
labels: 0.0015892802	images: 0.004338989	combi: 0.031857897	epochs: 173000 / 1000000
labels: 0.0015930597	images: 0.0043739337	combi: 0.031921573	epochs: 174000 / 1000000
labels: 0.0022503021	images: 0.004175885	combi: 0.032395687	epochs: 175000 / 1000000
labels: 0.0015913625	images: 0.0042091673	combi: 0.03201733	epochs: 176000 / 1000000
labels: 1.2297668E-4	images: 0.004209689	combi: 0.032282706	epochs: 177000 / 1000000
labels: 0.0022476595	images: 0.0042795814	combi: 0.032222334	epochs: 178000 / 1000000
labels: 0.0022474348	images: 0.0043257284	combi: 0.032389645	epochs: 179000 / 1000000
labels: 0.0015914425	images: 0.0044147936	combi: 0.0324379	epochs: 180000 / 1000000
labels: 0.0012973156	images: 0.0041759643	combi: 0.032032527	epochs: 181000 / 1000000
labels: 0.0013009997	images: 0.0042209253	combi: 0.032424632	epochs: 182000 / 1000000
labels: 0.0018369422	images: 0.0042248084	combi: 0.032670714	epochs: 183000 / 1000000
labels: 0.001835415	images: 0.004004911	combi: 0.032185175	epochs: 184000 / 1000000
labels: 0.0018383728	images: 0.004092903	combi: 0.032040972	epochs: 185000 / 1000000
labels: 0.0013027544	images: 0.004369926	combi: 0.03224463	epochs: 186000 / 1000000
labels: 0.0018358375	images: 0.0046787383	combi: 0.03248235	epochs: 187000 / 1000000
labels: 0.0018356798	images: 0.004211094	combi: 0.03228828	epochs: 188000 / 1000000
labels: 0.0015893183	images: 0.0042182812	combi: 0.032046206	epochs: 189000 / 1000000
labels: 0.0020509684	images: 0.0038895651	combi: 0.032263633	epochs: 190000 / 1000000
labels: 0.0018358364	images: 0.004101466	combi: 0.03266473	epochs: 191000 / 1000000
labels: 0.0018372618	images: 0.004098648	combi: 0.032385945	epochs: 192000 / 1000000
labels: 0.0024262157	images: 0.004041241	combi: 0.03224123	epochs: 193000 / 1000000
labels: 0.0012986426	images: 0.0042243297	combi: 0.032381736	epochs: 194000 / 1000000
labels: 0.0015891191	images: 0.0043827635	combi: 0.03227079	epochs: 195000 / 1000000
labels: 0.0012966698	images: 0.0042087436	combi: 0.032078736	epochs: 196000 / 1000000
labels: 0.0020514526	images: 0.0044886963	combi: 0.03223148	epochs: 197000 / 1000000
labels: 0.0022465973	images: 0.004391778	combi: 0.032493003	epochs: 198000 / 1000000
labels: 0.0020506382	images: 0.004332946	combi: 0.032187533	epochs: 199000 / 1000000
